solve_proc_b		solve_proc_c
3600.036199		55730.54956
6.778819		155.290994
3600.023833		52346.82899
3600.023196		53580.93151
3600.007062		53460.78758
120.585676		2334.1035
27.248217		148.246936
218.983178		8358.149845
48.671802		3046.809486
3122.239637		47304.9639
8.854356		59.18979
13.448753		272.869125
1.129865		36.286968
46.893922		112.511158
4.314791		39.374067
34.376583		3887.520219
9.087688		706.380325
161.833554		4431.385883
0.53022		3.518107
5.9648		64.009443
5.527274		22.959886
29.019117		7711.309453
6.039776		84.337046
96.136262		361.151958
0.007473		0.457265
248.31273		1008.914374
1.752432		5.171913
51.006428		283.697308
9.264785		217.663495
14.065584		28.001715
0.039279		0.430895
2.390298		3.834632
17.503428		2861.970537
56.510194		1881.672751
3.070384		8.963555
9.820711		43.881465
396.667947		54755.13853
3600.011983		53014.63902
290.701898		30542.69849
3600.004495		5666.830711
51.32816		11893.44214
3600.027419		4958.635278
89.093625		56227.81351
3587.624875		6050.484182
2519.644329		5253.305581
3600.040515		5913.474509
94.147645		11060.66077
3600.010863		6136.260092
3600.015444		5058.547959
79.482601		5732.622315
3600.002605		5105.464505
3600.020903		5113.630483
1030.750289		5645.889814
3600.021812		5189.85079
5.983027		49.556291
147.326366		2008.300496
0.97419		9.443182
18.817831		46.033351
8.134908		299.115531
91.285863		353.939723
9.937785		234.30833
51.069837		37460.98008
11.898372		364.992969
29.986191		840.096207
16.560151		1072.493619
20.45825		255.142845
116.341635		444.742495
168.978752		8434.702988
3.659992		28.789592
7.71964		70.788761
1.609319		39.189573
13.779097		208.668988
16.205277		216.394954
153.991504		581.261981
38.521357		1966.710098
143.382904		1165.708287
2.675071		43.179202
9.073824		93.885698
12.395493		1035.673346
4.839472		101.966608
21.920253		3143.112789
32.027216		178.987135
6.179765		26.356472
26.141362		194.518412
3.074211		78.146914
22.577691		131.798841
934.026383		30210.64244
3600.028175		49837.7066
299.373338		36651.77961
1197.302851		7899.176708
5.752538		3585.509789
3600.029234		5853.575765
139.835033		5030.936415
3600.019506		4938.928548
1569.691572		5486.979269
1221.350457		3537.294886
86.902805		5996.373678
3600.000684		5514.242582
