solve_proc_b		solve_proc_c
5.983027		49.556291
147.326366		2008.300496
0.97419		9.443182
18.817831		46.033351
8.134908		299.115531
91.285863		353.939723
9.937785		234.30833
51.069837		37460.98008
11.898372		364.992969
29.986191		840.096207
16.560151		1072.493619
20.45825		255.142845
116.341635		444.742495
168.978752		8434.702988
3.659992		28.789592
7.71964		70.788761
1.609319		39.189573
13.779097		208.668988
16.205277		216.394954
153.991504		581.261981
38.521357		1966.710098
143.382904		1165.708287
2.675071		43.179202
9.073824		93.885698
12.395493		1035.673346
4.839472		101.966608
21.920253		3143.112789
32.027216		178.987135
6.179765		26.356472
26.141362		194.518412
3.074211		78.146914
22.577691		131.798841
120.585676		2334.1035
27.248217		148.246936
218.983178		8358.149845
48.671802		3046.809486
3122.239637		47304.9639
8.854356		59.18979
13.448753		272.869125
1.129865		36.286968
46.893922		112.511158
4.314791		39.374067
34.376583		3887.520219
9.087688		706.380325
161.833554		4431.385883
0.53022		3.518107
5.9648		64.009443
5.527274		22.959886
29.019117		7711.309453
6.039776		84.337046
96.136262		361.151958
0.007473		0.457265
248.31273		1008.914374
1.752432		5.171913
51.006428		283.697308
9.264785		217.663495
14.065584		28.001715
0.039279		0.430895
2.390298		3.834632
17.503428		2861.970537
56.510194		1881.672751
3.070384		8.963555
9.820711		43.881465
