b solve stime		c solve time (edit to take unfinished values to be 7200)
0.017875		0.733176
1.190621		7.042223
1.012274		2.911786
0.236485		7.077781
16.120384		31136.22186
101.603921		34459.03328
0.202498		3.26846
2.402589		15.581064
283.355006		7200
176.155285		7200
0.850194		5.50745
1546.324484		7200
0.238601		0.805242
5.701765		7200
2.0647		7.470568
0.729644		384.436907
15.450291		2338.140172
0.539073		6.30511
0.200062		2.764923
0.964982		4.267614
1017.497934		7200
319.526972		7200
1.170803		15.083437
0.21736		5.496624
0.545839		5.243073
0.614458		4.980943
0.349479		5.55322
0.104906		1.093279
2.32426		11.658978
29.496079		7200
0.357663		3.620849
0.158966		4.582533
11.19451		7200
25.739362		7200
22.068504		1538.629347
1.185583		8.434344
0.083548		1.036184
0.130864		1.704097
0.370199		3.725508
1.062288		9.324443
4.843613		19.738456
132.027202		7200
1.596629		7.032605
0.607261		8.518369
31.68744		7200
47.073084		7200
0.693555		5.750776
1.475508		29.495161
0.098726		1.157705
0.457752		4.181208
0.367315		2.826541
3.690402		7200
32.48416		2063.569752
10.900606		7200
3.70056		22.301023
6.169894		685.23666
491.751035		7200
86.080694		32741.11122
2.796381		19.227934
0.332566		5.767187
