b solve stime		c solve time
0.017875		0.733176
0.238601		0.805242
0.083548		1.036184
0.104906		1.093279
0.098726		1.157705
0.130864		1.704097
0.200062		2.764923
0.367315		2.826541
1.012274		2.911786
0.202498		3.26846
0.357663		3.620849
0.370199		3.725508
0.457752		4.181208
0.964982		4.267614
0.158966		4.582533
0.614458		4.980943
0.545839		5.243073
0.21736		5.496624
0.850194		5.50745
0.349479		5.55322
0.693555		5.750776
0.332566		5.767187
0.539073		6.30511
1.596629		7.032605
1.190621		7.042223
0.236485		7.077781
2.0647		7.470568
1.185583		8.434344
0.607261		8.518369
1.062288		9.324443
2.32426		11.658978
1.170803		15.083437
2.402589		15.581064
2.796381		19.227934
4.843613		19.738456
3.70056		22.301023
1.475508		29.495161
